Donnée recherchée;KQI Informatica;Description KQI;Description du contrôle;Dimension qualité;Projet Informatica;Dossier Informatica;Profil Informatica;Source du profil;Chemin source;Champs contrôlés;Mapping d'entrée;Rule Specification;Description de la règle;Fréquence KQI;Criticité KQI;Seuil KQI;Cible KQI;Élément de rapprochement;ID KQI;ID profil FRS
Identifiant du Tiers;KQI_ESG_CON_PFI_organisationpartyid;Mesure la coherence de identifiant du Tiers en verifiant que le champ organisationpartyid ne presente pas d'ecart metier selon la regle RQ_ESG_CON_Type_Taille_Id dans le profil Profil_ESG_pfii_party_financial_information, alimente par pfii_party_financial_information_vw.;Non renseignée;Consistency;BPI_CDQ_ESG;Profil;Profil_ESG_pfii_party_financial_information;pfii_party_financial_information_vw;AwsDataCatalog/corp_esg_db_expcarb_p;organisationpartyid;Input <- organisationpartyid;RQ_ESG_CON_Type_Taille_Id;L'identifiant doit être au format numérique ne dépasse 11 caractères ;Daily;High;85.0;100.0;"Nom du KQI: n part, organisationpartyid ; Champs source: n part, organisationpartyid ; Mapping d'entrée: n part, organisationpartyid";9b995738-9cf4-4f65-a947-a3487d154770;jUwVJe1oki7jwp0VGhnuMu
Identifiant du Tiers;KQI_ESG_UNI_SCIM_organisationpartyid;Mesure l'unicite de identifiant du Tiers en verifiant que le champ count_res ne genere pas de doublons ou d'anomalies de rapprochement dans le profil Profil_ESG_unicite_scim_score_imc, alimente par stg_unicite_scim_score_imc_vw.csv.;Non renseignée;Uniqueness;BPI_CDQ_ESG;Profil;Profil_ESG_unicite_scim_score_imc;stg_unicite_scim_score_imc_vw.csv;bpi-fr-dag-prod-usecases-bucket/ESG%2F;count_res;NewInput1 <- count_res;RQ_CDQ_UNI_Count;;Daily;High;85.0;100.0;Nom du KQI: n part, organisationpartyid;bde88727-ff7a-4ce8-b018-792b4efef22d;8wiTsrasQKsc5V2XdJUQ2a
Identifiant du Tiers;KQI_STFI_002_INT_002_UAC;Mesure la completude de identifiant du Tiers en verifiant que le champ numera_tier est renseigne pour les enregistrements controles dans le profil Profile_UAC_INT_Stock_Tiers, alimente par M_UAC_Stock_Tiers.csv.;Non renseignée;Completeness;BPI_CDQ_PRX;Profil;Profile_UAC_INT_Stock_Tiers;M_UAC_Stock_Tiers.csv;;numera_tier;numera <- numera_tier;RQ_UAC_Stock_Tiers_Numera;Le champ numera doit être renseigné.;Daily;High;80.0;95.0;"Champs source: numera ; Mapping d'entrée: numera ; Rule Specification: numera";2f02166e-e188-40ca-98fe-fe931b4aae8d;51a0LRvsUUPgC3IK49yV01
Identifiant du Tiers;KQI_RCT_COM_Party_identifier_PFA;Mesure la completude de identifiant du Tiers en verifiant que le champ party_identifier est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_party, alimente par party.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_party;party;AwsDataCatalog/database_pfa_prod;party_identifier;In_Field1 <- party_identifier;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: party identifier, partyidentifier ; Champs source: party identifier, partyidentifier ; Mapping d'entrée: party identifier, partyidentifier";7d14df86-306c-458e-87ac-f5f424bf8eaa;02spGWzBlQUgnAh6IegCqj
Identifiant du Tiers;KQI_RET_b_numera_mtr_COM_051;Mesure la completude de identifiant du Tiers en verifiant que le champ b_numera_mtr est renseigne pour les enregistrements controles dans le profil Profil_RET_NumeraCP, alimente par STG_EBX_REP_RET_NUMERACP.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;Profil_RET_NumeraCP;STG_EBX_REP_RET_NUMERACP.csv;bpi-fr-dag-prod-raw-bucket/STGRET%2F/STG_EBX_REP_RET_NUMERACP%2F;b_numera_mtr;In_Field1 <- b_numera_mtr;RQ_CDQ_COM_check_not_null;Vérifie si l'entrée est nulle;Daily;High;83.0;98.0;"Nom du KQI: numera ; Champs source: numera ; Mapping d'entrée: numera";a6f5fe3b-8d46-4112-9685-a52a46e35127;2GEpzRaQZPUgB20NxNQ6Wu
Identifiant du Tiers;KQI_RET_COM_NUMERA_PM;Mesure la completude de identifiant du Tiers en verifiant que les champs numeracp et numeracp est renseigne pour les enregistrements controles dans le profil Profil_RET_NUMERACP_PM, alimente par NUMERA_ALL_PM_RET.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;Profil_RET_NUMERACP_PM;NUMERA_ALL_PM_RET.csv;bpi-fr-dag-prod-raw-bucket/users%2Fret%2F;numeracp | numeracp;champ <- numeracp | champ <- numeracp;RQ_RET_COMPLETUDE;Règle de vérification de la complétude du champ;Daily;High;80.0;95.0;"Nom du KQI: numera ; Source: numera";45b02c48-9223-43d9-a650-fdaf686b26a4;0wDs9cy1HC5jDiKgpelQ0H
Identifiant du Tiers;KQI_RET_COM_NUMERA_PP;Mesure la completude de identifiant du Tiers en verifiant que le champ numeracp est renseigne pour les enregistrements controles dans le profil PROFIL_RET_NUMERACP_PP, alimente par NUMERA_all_PP_RET.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;PROFIL_RET_NUMERACP_PP;NUMERA_all_PP_RET.csv;bpi-fr-dag-prod-raw-bucket/users%2Fret%2F;numeracp;champ <- numeracp;RQ_RET_COMPLETUDE;Règle de vérification de la complétude du champ;Daily;High;80.0;95.0;"Nom du KQI: numera ; Source: numera";e11932e9-7c07-4656-a8f7-6efc1b05b10a;6MtwJu5fslXbgG31eajdU8
Intention de gestion IFRS 9;KQI_CDM_FIAG_c_act_mng_stg_COM;Mesure la completude de intention de gestion IFRS 9 en verifiant que le champ c_act_mng_stg est renseigne pour les enregistrements controles dans le profil Profile_CBS_fiag_financial_agrem, alimente par fiag_financial_agrem.;Non renseignée;Completeness;BPI_CDQ_CBS;Profil;Profile_CBS_fiag_financial_agrem;fiag_financial_agrem;AwsDataCatalog/corp_cdm_tru_mom;c_act_mng_stg;NewInput1 <- c_act_mng_stg;RQ_CDQ_COM_notnull;;Daily;High;80.0;95.0;"Nom du KQI: act mng stg, actmngstg ; Champs source: act mng stg, actmngstg ; Mapping d'entrée: act mng stg, actmngstg";6c679479-afe1-4624-b725-82ae185fe4f7;4L05eNiT0m3deEdZMalZSW
Intention de gestion IFRS 9;KQI_CDM_MAAG_c_act_mng_stg_COM;Mesure la completude de intention de gestion IFRS 9 en verifiant que le champ c_act_mng_stg est renseigne pour les enregistrements controles dans le profil Profile_CBS_maag_master_agreement, alimente par maag_master_agreement.;Non renseignée;Completeness;BPI_CDQ_CBS;Profil;Profile_CBS_maag_master_agreement;maag_master_agreement;AwsDataCatalog/corp_cdm_tru_mom;c_act_mng_stg;NewInput1 <- c_act_mng_stg;RQ_CDQ_COM_notnull;;Daily;High;80.0;95.0;"Nom du KQI: act mng stg, actmngstg ; Champs source: act mng stg, actmngstg ; Mapping d'entrée: act mng stg, actmngstg";13338b10-e711-4191-b73e-faf419e2dcb1;aBWkkdBlC9Bho5KcQ3zVwG
LEI;Nom KQI non renseigné;Mesure la conformite du LEI en verifiant que l'identifiant tiers respecte le format attendu de 20 caracteres selon la norme ISO 17442 dans le profil Profil_cli_ret_organis_tobedeleted, alimente par tmp_cli_ret_organisation_party_identification_vw.csv.;Non renseignée;;BPI_CDQ_CLI;PROFIL;Profil_cli_ret_organis_tobedeleted;tmp_cli_ret_organisation_party_identification_vw.csv;bpi-fr-dag-prod-usecases-bucket/CLI%2F;organisationpartyidentificationvalue | organisationpartyidentificationtypeid;organisationpartyidentificationvalue <- organisationpartyidentificationvalue | organisationpartyidentificationtypeid <- organisationpartyidentificationtypeid;RQ_CLI_CON_RET_LEI;EQ_Conformité : le format du LEI doit être de 20 caractères conformément à la norme internationale ISO 17442 : 2012;;;;;Rule Specification: lei;abdfdca3-c1f0-41fc-9174-f58d7d362150;9JypGycFKeIgZ9Lf9BzP6o
LEI;KQI_BCPRET_COH_Ecart_LEI;Mesure la conformite du LEI en verifiant que l'identifiant tiers respecte le format attendu de 20 caracteres selon la norme ISO 17442 dans le profil PROFIL_RETBCP_EcartLEI, alimente par CTL_RETBCP_LEI.csv.;Non renseignée;Consistency;BPI_CDQ_RETBCP;Profil;PROFIL_RETBCP_EcartLEI;CTL_RETBCP_LEI.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;RULE_RET_Ecart_LEI_COH;NewInput1 <- RULE_RET_Ecart_LEI_COH;RQ_RET_BCPRET_COH_ECART;;Daily;High;80.0;95.0;"Nom du KQI: lei ; Champs source: lei ; Mapping d'entrée: lei ; Source: lei";828d368d-4117-44a1-9593-5a9c29db2b86;iQsGp4LceuRjAgFFzMuhaO
NAF (Nomenclature d'activité française);KQI_CFR_NACE_NAF_COH;Mesure la coherence entre code NACE et code NAF en verifiant que le NACE correspond aux quatre premiers chiffres du NAF dans le profil Profil_CFR_PART_Party, alimente par STG_CFR_PART_PARTY.csv.;Non renseignée;Consistency;BPI_CDQ_CFR;PROFIL;Profil_CFR_PART_Party;STG_CFR_PART_PARTY.csv;bpi-fr-dag-prod-usecases-bucket/CFR%2F;c_nace_CFR | ICONAF;input_code_nace <- c_nace_CFR | input_code_naf <- ICONAF;RQ_CDQ_COH_code_NACE;Code NACE doit être égale au 4 premier chiffre du Code NAF;Daily;High;83.0;98.0;"Nom du KQI: nace, naf ; Champs source: iconaf, nace ; Mapping d'entrée: iconaf, nace, naf ; Rule Specification: nace";e80867d2-0663-46cd-ad5f-319fabd5b2d4;3g9KgplMfQSdOkJ42L75uW
NAF (Nomenclature d'activité française);KQI_CFR_nidnaf_COM_003;Mesure la completude de nAF (Nomenclature d'activité française) en verifiant que les champs nidnaf_CFR et b_pers_part_CFR est renseigne pour les enregistrements controles dans le profil Profil_CFR_PART_Party, alimente par STG_CFR_PART_PARTY.csv.;Non renseignée;Completeness;BPI_CDQ_CFR;PROFIL;Profil_CFR_PART_Party;STG_CFR_PART_PARTY.csv;bpi-fr-dag-prod-usecases-bucket/CFR%2F;nidnaf_CFR | b_pers_part_CFR;Input <- nidnaf_CFR | b_pers_part <- b_pers_part_CFR;RQ_CFR_COM_B_pers_part;;Daily;High;85.0;100.0;"Nom du KQI: nidnaf ; Champs source: nidnaf ; Mapping d'entrée: nidnaf";40c895a2-c24c-4c3a-a16a-d71cdcf36f2b;3g9KgplMfQSdOkJ42L75uW
NAF (Nomenclature d'activité française);KQI_CFR_nidnaf_EXA_010;Mesure l'exactitude de nAF (Nomenclature d'activité française) en comparant les champs nidnaf_CFR et NIDNAF avec la reference attendue afin de detecter les valeurs incorrectes dans le profil Profil_CFR_PART_Party, alimente par STG_CFR_PART_PARTY.csv.;Non renseignée;Accuracy;BPI_CDQ_CFR;PROFIL;Profil_CFR_PART_Party;STG_CFR_PART_PARTY.csv;bpi-fr-dag-prod-usecases-bucket/CFR%2F;nidnaf_CFR | NIDNAF;input_column <- nidnaf_CFR | lookup_column <- NIDNAF;RQ_CFR_EXA_nidnaf_indpay;;Daily;High;85.0;100.0;"Nom du KQI: nidnaf ; Champs source: nidnaf ; Mapping d'entrée: nidnaf ; Rule Specification: nidnaf";79357d07-9e47-4231-b60e-a0ab3140d3a3;3g9KgplMfQSdOkJ42L75uW
NAF (Nomenclature d'activité française);KQI_NAF_001_COM_NAF_001_CLI;Mesure la completude de nAF (Nomenclature d'activité française) en verifiant que le champ NSEC_codesecteur est renseigne pour les enregistrements controles dans le profil Profil_RET_NAF_PM_ClientsActifs, alimente par CTL_RET_DC_CNAF.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;Profil_RET_NAF_PM_ClientsActifs;CTL_RET_DC_CNAF.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;NSEC_codesecteur;In_Field1 <- NSEC_codesecteur;RQ_CDQ_COM_check_not_null;Vérifie si l'entrée est nulle;Daily;High;85.0;100.0;"Nom du KQI: naf ; Profil: naf";0cec1a88-5f19-415b-b4c9-056bb83a0d5c;0NoU6hO4tbCcDb9EK5A9cd
NAF (Nomenclature d'activité française);KQI_NAF_002_CON_NAF_001_CLI;Mesure la coherence de nAF (Nomenclature d'activité française) en verifiant que le champ NSEC_codesecteur ne presente pas d'ecart metier selon la regle RS_NAF_002_CON_NAF_001_CLI dans le profil Profil_RET_NAF_PM_ClientsActifs, alimente par CTL_RET_DC_CNAF.csv.;Non renseignée;Consistency;BPI_CDQ_RET;PROFIL;Profil_RET_NAF_PM_ClientsActifs;CTL_RET_DC_CNAF.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;NSEC_codesecteur;codesecteur <- NSEC_codesecteur;RS_NAF_002_CON_NAF_001_CLI;;Daily;High;83.0;98.0;"Nom du KQI: naf ; Rule Specification: naf ; Profil: naf";7d06816e-4fbb-4f75-8803-b3be575bd198;0NoU6hO4tbCcDb9EK5A9cd
NAF (Nomenclature d'activité française);KQI_NAF_003_EXA_NAF_001_CLI;Mesure la validite de nAF (Nomenclature d'activité française) en verifiant que les champs NSEC_codesecteur et MDM_ICONAF respecte le format ou la valeur attendue dans le profil Profil_RET_NAF_PM_ClientsActifs, alimente par CTL_RET_DC_CNAF.csv.;Non renseignée;Validity;BPI_CDQ_RET;PROFIL;Profil_RET_NAF_PM_ClientsActifs;CTL_RET_DC_CNAF.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;NSEC_codesecteur | MDM_ICONAF;CODESECTEUR <- NSEC_codesecteur | ICONAF <- MDM_ICONAF;RS_NAF_003_EXA_NAF_001_CLI;;Daily;High;85.0;100.0;"Nom du KQI: naf ; Champs source: iconaf ; Mapping d'entrée: iconaf ; Rule Specification: naf ; Profil: naf";27efe997-13e4-4733-be27-0dc8b5811fef;0NoU6hO4tbCcDb9EK5A9cd
NAF (Nomenclature d'activité française);KQI_BCPRET_COH_Ecart_CodeNACE;Mesure la coherence de nAF (Nomenclature d'activité française) en verifiant que le champ RULE_BCPRET_COH_Ecart_CodeNACE ne presente pas d'ecart metier selon la regle RQ_RET_BCPRET_COH_ECART dans le profil PROFIL_RETBCP_CODE_NAF_NACE, alimente par CTL_RETBCP_CODE_NAF_NACE.csv.;Non renseignée;Consistency;BPI_CDQ_RETBCP;Profil;PROFIL_RETBCP_CODE_NAF_NACE;CTL_RETBCP_CODE_NAF_NACE.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;RULE_BCPRET_COH_Ecart_CodeNACE;NewInput1 <- RULE_BCPRET_COH_Ecart_CodeNACE;RQ_RET_BCPRET_COH_ECART;;Daily;High;0.0;1.0;"Profil: nace, naf ; Source: nace, naf";f0ffc7ad-97f4-446f-bf39-846e4a7b6c4a;a4c9soXc4BclNSe38ZlwEj
Numéro Client Partenaire CP (Numéra);KQI_CFR_COM_NUMERA_numeramasterlink_vs_characteristics_tiers;Mesure l'unicite de numéro Client Partenaire CP (Numéra) en verifiant que le champ RQ_CFR_1 ne genere pas de doublons ou d'anomalies de rapprochement dans le profil Profil_CFR_numeramsterlink_doublon_NUMERA, alimente par newtest.csv.;Non renseignée;Uniqueness;BPI_CDQ_CFR;PROFIL;Profil_CFR_numeramsterlink_doublon_NUMERA;newtest.csv;bpi-fr-dag-prod-raw-bucket/users%2F/CFR%2F;RQ_CFR_1;Input <- RQ_CFR_1;Rs_CFR_OK_KO;;Daily;High;80.0;95.0;"Nom du KQI: numera ; Profil: numera";acf75501-c6ac-4de5-9b7a-1ecc6fdadecd;8DLHmaSpN06lWzhecKWWOr
Numéro Client Partenaire CP (Numéra);KQI_STFI_002_INT_002_UAC;Mesure la completude de numéro Client Partenaire CP (Numéra) en verifiant que le champ numera_tier est renseigne pour les enregistrements controles dans le profil Profile_UAC_INT_Stock_Tiers, alimente par M_UAC_Stock_Tiers.csv.;Non renseignée;Completeness;BPI_CDQ_PRX;Profil;Profile_UAC_INT_Stock_Tiers;M_UAC_Stock_Tiers.csv;;numera_tier;numera <- numera_tier;RQ_UAC_Stock_Tiers_Numera;Le champ numera doit être renseigné.;Daily;High;80.0;95.0;"Champs source: numera ; Mapping d'entrée: numera ; Rule Specification: numera";2f02166e-e188-40ca-98fe-fe931b4aae8d;51a0LRvsUUPgC3IK49yV01
Numéro Client Partenaire CP (Numéra);KQI_RCT_COM_Party_cp_number_PFA;Mesure la completude de numéro Client Partenaire CP (Numéra) en verifiant que le champ cp_number est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_party, alimente par party.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_party;party;AwsDataCatalog/database_pfa_prod;cp_number;In_Field1 <- cp_number;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: cpnumber ; Champs source: cpnumber ; Mapping d'entrée: cpnumber";e7309894-b72a-4356-9112-f197dd5a9a50;02spGWzBlQUgnAh6IegCqj
Numéro Client Partenaire CP (Numéra);KQI_RET_b_numera_mtr_COM_051;Mesure la completude de numéro Client Partenaire CP (Numéra) en verifiant que le champ b_numera_mtr est renseigne pour les enregistrements controles dans le profil Profil_RET_NumeraCP, alimente par STG_EBX_REP_RET_NUMERACP.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;Profil_RET_NumeraCP;STG_EBX_REP_RET_NUMERACP.csv;bpi-fr-dag-prod-raw-bucket/STGRET%2F/STG_EBX_REP_RET_NUMERACP%2F;b_numera_mtr;In_Field1 <- b_numera_mtr;RQ_CDQ_COM_check_not_null;Vérifie si l'entrée est nulle;Daily;High;83.0;98.0;"Nom du KQI: numera ; Champs source: numera ; Mapping d'entrée: numera";a6f5fe3b-8d46-4112-9685-a52a46e35127;2GEpzRaQZPUgB20NxNQ6Wu
Numéro Client Partenaire CP (Numéra);KQI_RET_COM_NUMERA_PM;Mesure la completude de numéro Client Partenaire CP (Numéra) en verifiant que les champs numeracp et numeracp est renseigne pour les enregistrements controles dans le profil Profil_RET_NUMERACP_PM, alimente par NUMERA_ALL_PM_RET.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;Profil_RET_NUMERACP_PM;NUMERA_ALL_PM_RET.csv;bpi-fr-dag-prod-raw-bucket/users%2Fret%2F;numeracp | numeracp;champ <- numeracp | champ <- numeracp;RQ_RET_COMPLETUDE;Règle de vérification de la complétude du champ;Daily;High;80.0;95.0;"Nom du KQI: numera ; Source: numera";45b02c48-9223-43d9-a650-fdaf686b26a4;0wDs9cy1HC5jDiKgpelQ0H
Numéro Client Partenaire CP (Numéra);KQI_RET_COM_NUMERA_PP;Mesure la completude de numéro Client Partenaire CP (Numéra) en verifiant que le champ numeracp est renseigne pour les enregistrements controles dans le profil PROFIL_RET_NUMERACP_PP, alimente par NUMERA_all_PP_RET.csv.;Non renseignée;Completeness;BPI_CDQ_RET;PROFIL;PROFIL_RET_NUMERACP_PP;NUMERA_all_PP_RET.csv;bpi-fr-dag-prod-raw-bucket/users%2Fret%2F;numeracp;champ <- numeracp;RQ_RET_COMPLETUDE;Règle de vérification de la complétude du champ;Daily;High;80.0;95.0;"Nom du KQI: numera ; Source: numera";e11932e9-7c07-4656-a8f7-6efc1b05b10a;6MtwJu5fslXbgG31eajdU8
Raison sociale;KQI_ESG_COM_COTL_legalname_is_not_null;Mesure la completude de raison sociale en verifiant que le champ legalname est renseigne pour les enregistrements controles dans le profil Profil_ESG_COTL_TENANT_1, alimente par cotl_co2_target_label_vw.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_COTL_TENANT_1;cotl_co2_target_label_vw;AwsDataCatalog/corp_esg_db_mom_p;legalname;In_Field1 <- legalname;RQ_CDQ_COM_check_not_null;Vérifie si l'entrée est nulle;Daily;High;85.0;100.0;"Nom du KQI: legalname ; Champs source: legalname ; Mapping d'entrée: legalname";fd603106-784b-451a-a479-42f540a54e6f;0aPEddn2LCihcE37TpqCsG
Raison sociale; KQI_RET_COH_Ecart_NCSOCIETE;Mesure la validite de raison sociale en verifiant que les champs libellecommercial et LNOMCO respecte le format ou la valeur attendue dans le profil PROFIL_BCPRET_ECART_DONNEES_SIGNALITIQUES, alimente par ret_donnees_signalitiques.csv.;Non renseignée;Validity;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ECART_DONNEES_SIGNALITIQUES;ret_donnees_signalitiques.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;libellecommercial | LNOMCO;Libellecommercial <- libellecommercial | LNOMCO <- LNOMCO;RQ_RET_COH_Ecart_NCSOCIETE;;Daily;High;0.0;0.0;"Nom du KQI: ncsociete ; Rule Specification: ncsociete";30fda999-a7cd-4ed0-8275-fa7e3f851699;g1sFCiYLry4iwRJsh1288u
Raison sociale;KQI_RET_COH_Ecart_RaisonSociale;Mesure la validite de raison sociale en verifiant que les champs LNOMRA_LONG et LNOMRA et personnemoralefk_ et raisonsociale respecte le format ou la valeur attendue dans le profil PROFIL_BCPRET_ECART_DONNEES_SIGNALITIQUES, alimente par ret_donnees_signalitiques.csv.;Non renseignée;Validity;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ECART_DONNEES_SIGNALITIQUES;ret_donnees_signalitiques.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;LNOMRA_LONG | LNOMRA | personnemoralefk_ | raisonsociale;LNORMA_LONG <- LNOMRA_LONG | LNORMA <- LNOMRA | personnemoral <- personnemoralefk_ | RaisonSociale <- raisonsociale;RQ_RET_COH_Ecart_RaisonSociale;;Daily;High;82.0;97.0;"Nom du KQI: raison sociale, raisonsociale ; Champs source: raison sociale, raisonsociale ; Mapping d'entrée: raison sociale, raisonsociale ; Rule Specification: raison sociale, raisonsociale";0577559c-1a1a-443e-a436-122c20188c97;g1sFCiYLry4iwRJsh1288u
Raison sociale;KQI_RET_MKD_COH_Libelle_commercial;Mesure la coherence de raison sociale en comparant les champs libellecommercial et legalname afin d'identifier les ecarts entre les sources ou applications controlees dans le profil Profil_RETMKD_Libelle_commercial, alimente par m_ctl_libelle_commercial.csv.;Non renseignée;Consistency;BPI_CDQ_RETMKD;PROFIL;Profil_RETMKD_Libelle_commercial;m_ctl_libelle_commercial.csv;bpi-fr-dag-prod-raw-bucket/users%2F/retmkd%2F;libellecommercial | legalname;NewInput2 <- libellecommercial | NewInput1 <- legalname;RQ_RET_COH_General;règle d'écart entre les champs entre RET et BCP;Daily;High;0.0;0.0;"Champs source: legalname ; Mapping d'entrée: legalname";76e24060-d31e-4ab6-9972-cabeb070cea1;0Dg5pVgiNdqir7RyC86NSf
SIREN;KQI_DVN_COM_siren_IMC;Mesure la completude de sIREN en verifiant que le champ siren est renseigne pour les enregistrements controles dans le profil Profil_ESG_QCLIMAT_IMC, alimente par imc.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_QCLIMAT_IMC;imc;AwsDataCatalog/corp_esg_qclimat_production_verte;siren;In_Field1 <- siren;rs_check_input_is_not_null_DVN;Verifies if the input is null.;Daily;High;85.0;100.0;"Nom du KQI: siren ; Champs source: siren ; Mapping d'entrée: siren";606b48d1-a9eb-4426-9dce-b00bd3eca20e;7ThT4TBf719kv15pBB0m02
SIREN;KQI_DVN_COM_siren_INVEST;Mesure la completude de sIREN en verifiant que le champ siren est renseigne pour les enregistrements controles dans le profil Profil_ESG_QCLIMAT_Invest, alimente par investissement.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_QCLIMAT_Invest;investissement;AwsDataCatalog/corp_esg_qclimat_production_verte;siren;In_Field1 <- siren;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;69.0;84.0;"Nom du KQI: siren ; Champs source: siren ; Mapping d'entrée: siren";2a50fbd5-9314-46b8-b461-beb3686df633;32vZcknMVVhjnletal6oSV
SIREN;KQI_DVN_COM_siren_PV;Mesure la completude de sIREN en verifiant que le champ siren est renseigne pour les enregistrements controles dans le profil Profil_ESG_QCLIMAT_Prod_Verte, alimente par interventions.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_QCLIMAT_Prod_Verte;interventions;AwsDataCatalog/corp_esg_qclimat_production_verte;siren;In_Field1 <- siren;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: siren ; Champs source: siren ; Mapping d'entrée: siren";90edd541-ab38-40b5-9a92-093a25a92fb2;fdjdQN13eithmXHOcZ6mAK
SIREN;KQI_ESG_CON_CCRE_nsiren_type_taille;Mesure la conformite du SIREN en verifiant que le champ nsiren est numerique et limite a 9 chiffres ou qu il peut rester nul lorsque la regle l autorise dans le profil Profil_ESG_CCRE_Company_Climate_Risks_Exposure, alimente par ccre_company_climate_risks_exposure.;Non renseignée;Consistency;BPI_CDQ_ESG;Profil;Profil_ESG_CCRE_Company_Climate_Risks_Exposure;ccre_company_climate_risks_exposure;AwsDataCatalog/corp_esg_db_mom_p;nsiren;NewInput1 <- nsiren;RQ_ESG_CON_Type_Taille_SIREN_avecnull;La règle vérifie que le siren est numeric et ne dépasse pas 9 chiffres ou est null;Daily;High;85.0;100.0;"Nom du KQI: nsiren ; Champs source: nsiren ; Mapping d'entrée: nsiren ; Rule Specification: siren";c6bc05b2-b597-4491-a807-5625f771e5f7;9f3YY4PybhGivBt1rsjB8s
SIREN;KQI_ESG_CON_COTL_nsiren_taille_type;Mesure la conformite du SIREN en verifiant que le champ nsiren est numerique et limite a 9 chiffres dans le profil Profil_ESG_COTL_TENANT_2, alimente par cotl_co2_target_label_vw.;Non renseignée;Consistency;BPI_CDQ_ESG;Profil;Profil_ESG_COTL_TENANT_2;cotl_co2_target_label_vw;AwsDataCatalog/corp_esg_db_mom_p;nsiren;Input <- nsiren;RQ_ESG_CON_Type_Taille_SIREN;La règle vérifie que le siren est numeric et ne dépasse pas 9 chiffres;Daily;High;85.0;100.0;"Nom du KQI: nsiren ; Champs source: nsiren ; Mapping d'entrée: nsiren ; Rule Specification: siren";604ae692-1bf2-41b1-97de-ff8faf187165;fAS4yVoGFYNbJUNo9GN6mT
SIREN;KQI_ESG_CON_PAIN_nsiren;Mesure la conformite du SIREN en verifiant que le champ nsiren est numerique et limite a 9 chiffres dans le profil Profil_ESG_PAIN_Principal_Adverse_Impact_vw_1, alimente par pain_principal_adverse_impact_vw.;Non renseignée;Consistency;BPI_CDQ_ESG;Profil;Profil_ESG_PAIN_Principal_Adverse_Impact_vw_1;pain_principal_adverse_impact_vw;AwsDataCatalog/corp_esg_db_confidential_p;nsiren;Input <- nsiren;RQ_ESG_CON_Type_Taille_SIREN;La règle vérifie que le siren est numeric et ne dépasse pas 9 chiffres;Daily;High;85.0;100.0;"Nom du KQI: nsiren ; Champs source: nsiren ; Mapping d'entrée: nsiren ; Rule Specification: siren";01cc01db-5f8c-4f67-91e9-b0c01e2f8fb1;aMJdLTEObGjlL7xrhJfb2T
SIREN;KQI_RCT_COM_Party_siren_PFA;Mesure la completude de sIREN en verifiant que le champ siren est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_party, alimente par party.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_party;party;AwsDataCatalog/database_pfa_prod;siren;In_Field1 <- siren;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: siren ; Champs source: siren ; Mapping d'entrée: siren";ecf1b1d7-bc24-477a-8c87-b16314687171;02spGWzBlQUgnAh6IegCqj
